Seg,mV
0.0,0.5040
0.0,0.4886
0.0,0.5524
0.0,0.5292
0.0,0.5140
0.0,0.4764
0.0,0.5223
0.0,0.5443
0.0,0.5631
0.0,0.5988
0.0,0.5397
0.0,0.5016
0.0,0.5140
0.0,0.5045
0.0,0.5121
0.0,0.4860
0.0,0.4938
0.0,0.4965
0.0,0.5204
0.0,0.5424
0.0,0.5416
0.0,0.5651
0.0,0.5177
0.0,0.4759
0.0,0.6020
0.0,0.5587
0.0,0.5082
0.0,0.4828
0.0,0.4728
0.0,0.4679
0.0,0.4799
0.0,0.4359
0.0,0.4762
0.0,0.4286
0.0,0.4676
0.0,0.4278
0.0,0.4379
0.0,0.5377
0.0,0.5697
0.0,0.4972
0.0,0.5148
0.0,0.5285
0.0,0.5475
0.0,0.5306
0.0,0.5482
0.0,0.5294
0.0,0.5617
0.0,0.5294
0.0,0.5577
0.0,0.5143
0.0,0.5245
0.0,0.5158
0.0,0.5189
0.0,0.5118
0.0,0.5092
0.0,0.5031
0.0,0.5045
0.0,0.4845
0.0,0.4977
0.0,0.5109
0.0,0.5050
0.01,0.4781
0.01,0.5050
0.01,0.5243
0.01,0.5538
0.01,0.5167
0.01,0.5338
0.01,0.5055
0.01,0.5856
0.01,0.5375
0.01,0.4957
0.01,0.4906
0.01,0.4801
0.01,0.4662
0.01,0.4718
0.01,0.4642
0.01,0.4466
0.01,0.4410
0.01,0.4291
0.02,0.4435
0.05,0.4860
0.07,0.5250
0.1,0.5118
0.12,0.5245
0.15,0.5245
0.17,0.5158
0.2,0.5180
0.23,0.5031
0.25,0.5094
0.28,0.5160
0.3,0.5216
0.33,0.5140
0.35,0.5153
0.38,0.5101
0.4,0.5170
0.43,0.5143
0.45,0.5167
0.48,0.4957
0.51,0.4845
0.53,0.5053
0.56,0.5133
0.58,0.5216
0.61,0.5206
0.63,0.5153
0.66,0.4967
0.68,0.6164
0.71,0.5106
0.73,0.4969
0.76,0.4933
0.78,0.4791
0.81,0.4789
0.84,0.4828
0.86,0.4718
0.89,0.4623
0.91,0.4464
0.94,0.4408
0.96,0.4669
0.99,0.5092
1.01,0.5282
1.04,0.5336
1.06,0.5394
1.09,0.5267
1.11,0.5375
1.14,0.5336
1.17,0.5324
1.19,0.5304
1.22,0.5250
1.24,0.5289
1.27,0.5172
1.29,0.5072
1.32,0.4967
1.34,0.4896
1.37,0.5043
1.39,0.5118
1.42,0.5140
1.45,0.5180
1.47,0.5035
1.5,0.4935
1.52,0.6222
1.55,0.5001
1.57,0.4906
1.6,0.4818
1.62,0.4806
1.65,0.4774
1.67,0.4740
1.7,0.4725
1.72,0.4459
1.75,0.4330
1.78,0.4337
1.8,0.4733
1.83,0.5060
1.85,0.5187
1.88,0.5172
1.9,0.5180
1.93,0.5170
1.95,0.5138
1.98,0.5223
2.0,0.5114
2.03,0.5219
2.06,0.5123
2.08,0.5177
2.11,0.5148
2.13,0.5192
2.16,0.5148
2.18,0.5167
2.21,0.5231
2.23,0.5001
2.26,0.4994
2.28,0.5170
2.31,0.5148
2.33,0.5216
2.36,0.5216
2.39,0.5219
2.41,0.4965
2.44,0.6042
2.46,0.5236
2.49,0.4991
2.51,0.5070
2.54,0.4923
2.56,0.4923
2.59,0.4811
2.61,0.4747
2.64,0.4689
2.66,0.4491
2.69,0.4469
2.72,0.4720
2.74,0.5089
2.77,0.5241
2.79,0.5248
2.82,0.5353
2.84,0.5228
2.87,0.5267
2.89,0.5177
2.92,0.5275
2.94,0.5265
2.97,0.5231
3.0,0.5177
3.02,0.5121
3.05,0.5165
3.07,0.5182
3.1,0.5158
3.12,0.5131
3.15,0.5109
3.17,0.5099
3.2,0.5123
3.22,0.5057
3.25,0.5104
3.27,0.5123
3.3,0.5101
3.33,0.5128
3.35,0.5072
3.38,0.5180
3.4,0.5128
3.43,0.5043
3.45,0.4857
3.48,0.4938
3.5,0.5128
3.53,0.5109
3.55,0.5167
3.58,0.5189
3.61,0.5001
3.63,0.5763
3.66,0.5424
3.68,0.4874
3.71,0.4891
3.73,0.4796
3.76,0.4801
3.78,0.4728
3.81,0.4613
3.83,0.4532
3.86,0.4327
3.88,0.4332
3.91,0.4415
3.94,0.4840
3.96,0.5123
3.99,0.5211
4.01,0.5192
4.04,0.5306
4.06,0.5219
4.09,0.5116
4.11,0.5162
4.14,0.5116
4.16,0.5216
4.19,0.5248
4.21,0.5182
4.24,0.5109
4.27,0.5238
4.29,0.5162
4.32,0.5211
4.34,0.5133
4.37,0.5221
4.39,0.5126
4.42,0.5138
4.44,0.5145
4.47,0.5128
4.49,0.5148
4.52,0.4913
4.54,0.4982
4.57,0.5153
4.6,0.5206
