Seg,mV
0.0,0.4618
0.0,0.4618
0.0,0.4078
0.0,0.3854
0.0,0.4430
0.0,0.4615
0.0,0.5258
0.0,0.5170
0.0,0.5475
0.0,0.4945
0.0,0.5101
0.0,0.4786
0.0,0.4322
0.0,0.5150
0.0,0.5158
0.0,0.5148
0.0,0.5089
0.0,0.5285
0.0,0.5236
0.0,0.5031
0.0,0.5216
0.0,0.5001
0.0,0.5465
0.0,0.5419
0.0,0.5189
0.0,0.5026
0.0,0.5099
0.0,0.5241
0.0,0.5001
0.0,0.4864
0.0,0.4759
0.0,0.5067
0.0,0.5263
0.0,0.5131
0.0,0.5324
0.0,0.5524
0.0,0.4884
0.0,0.5687
0.0,0.5255
0.0,0.5260
0.0,0.5082
0.0,0.4947
0.0,0.5031
0.0,0.4632
0.0,0.4618
0.0,0.4606
0.0,0.4567
0.0,0.4396
0.0,0.4515
0.01,0.4952
0.01,0.5333
0.01,0.5206
0.01,0.5372
0.01,0.5126
0.01,0.5199
0.01,0.5197
0.01,0.5172
0.01,0.5177
0.01,0.5236
0.01,0.5197
0.01,0.5128
0.01,0.5145
0.01,0.5258
0.01,0.5221
0.01,0.5182
0.01,0.5221
0.01,0.5055
0.01,0.4947
0.01,0.4955
0.01,0.5062
0.01,0.5028
0.01,0.5084
0.01,0.5028
0.01,0.4938
0.01,0.5287
0.01,0.5946
0.01,0.5033
0.01,0.4943
0.01,0.4777
0.01,0.4791
0.03,0.4786
0.06,0.4630
0.08,0.4684
0.11,0.4457
0.14,0.4261
0.16,0.4488
0.19,0.4650
0.21,0.5182
0.24,0.5133
0.26,0.5177
0.29,0.5289
0.31,0.5223
0.34,0.5143
0.36,0.5204
0.39,0.5180
0.41,0.5211
0.44,0.5241
0.47,0.5197
0.49,0.5160
0.52,0.5197
0.54,0.5277
0.57,0.5148
0.59,0.5158
0.62,0.5079
0.64,0.5167
0.67,0.5160
0.69,0.5128
0.72,0.5143
0.75,0.5079
0.77,0.5099
0.8,0.5126
0.82,0.5123
0.85,0.4869
0.87,0.4894
0.9,0.4965
0.92,0.5118
0.95,0.5128
0.97,0.5167
1.0,0.5038
1.02,0.4867
1.05,0.5873
1.08,0.5138
1.1,0.5035
1.13,0.4825
1.15,0.4820
1.18,0.4855
1.2,0.4657
1.23,0.4691
1.25,0.4532
1.28,0.4396
1.3,0.4474
1.33,0.4606
1.36,0.4935
1.38,0.5280
1.41,0.5258
1.43,0.5223
1.46,0.5248
1.48,0.5292
1.51,0.5216
1.53,0.5260
1.56,0.5299
1.58,0.5306
1.61,0.5199
1.63,0.5272
1.66,0.5226
1.69,0.5221
1.71,0.5263
1.74,0.5106
1.76,0.5170
1.79,0.4930
1.81,0.5111
1.84,0.5089
1.86,0.5167
1.89,0.5143
1.91,0.5111
1.94,0.5109
1.96,0.5043
1.99,0.5118
2.02,0.5065
2.04,0.5033
2.07,0.4886
2.09,0.4921
2.12,0.4977
2.14,0.5121
2.17,0.5094
2.19,0.5084
2.22,0.5094
2.24,0.4850
2.27,0.5954
2.3,0.5006
2.32,0.4811
2.35,0.4906
2.37,0.4767
2.4,0.4679
2.42,0.4713
2.45,0.4611
2.47,0.4376
2.5,0.4264
2.52,0.4220
