Seg,mV
0.0,0.5131
0.0,0.5087
0.0,0.4474
0.0,0.6144
0.0,0.5292
0.0,0.5109
0.0,0.4972
0.0,0.4506
0.0,0.4850
0.0,0.4457
0.0,0.4730
0.0,0.4545
0.0,0.4186
0.0,0.4432
0.0,0.4564
0.0,0.5372
0.0,0.5306
0.0,0.5321
0.0,0.6249
0.0,0.5116
0.0,0.4933
0.0,0.5060
0.0,0.5035
0.0,0.4989
0.0,0.4965
0.0,0.4781
0.0,0.5092
0.0,0.5118
0.0,0.5031
0.0,0.5231
0.0,0.4989
0.0,0.5021
0.0,0.5148
0.0,0.5106
0.0,0.5043
0.0,0.4811
0.0,0.4984
0.0,0.4945
0.0,0.5133
0.0,0.5109
0.0,0.5045
0.0,0.5070
0.0,0.5023
0.0,0.4796
0.0,0.6005
0.0,0.4950
0.0,0.4908
0.0,0.4825
0.0,0.4833
0.0,0.4735
0.0,0.4703
0.0,0.4611
0.0,0.4476
0.0,0.4361
0.0,0.4342
0.0,0.4401
0.0,0.4938
0.01,0.5275
0.01,0.5258
0.01,0.5275
0.01,0.5397
0.01,0.5243
0.01,0.5289
0.01,0.5241
0.01,0.5368
0.01,0.5106
0.01,0.5304
0.01,0.5143
0.01,0.5197
0.01,0.5285
0.01,0.5138
0.01,0.5162
0.01,0.5084
0.01,0.5121
0.01,0.5114
0.01,0.5126
0.01,0.5048
0.01,0.5204
0.01,0.5118
0.01,0.5106
0.04,0.5016
0.06,0.5128
0.09,0.5031
0.11,0.5075
0.14,0.5028
0.17,0.4989
0.19,0.4718
0.22,0.4813
0.24,0.4923
0.27,0.5038
0.29,0.5045
0.32,0.5118
0.34,0.4855
0.37,0.4891
0.39,0.5963
0.42,0.5004
0.44,0.4899
0.47,0.5011
0.5,0.4950
0.52,0.4806
0.55,0.4794
0.57,0.4645
0.6,0.4476
0.62,0.4488
0.65,0.4339
0.67,0.4498
0.7,0.5094
0.72,0.5287
0.75,0.5260
0.78,0.5121
0.8,0.5062
0.83,0.5299
0.85,0.5355
0.88,0.5363
0.9,0.5319
0.93,0.5263
0.95,0.5145
0.98,0.5333
1.0,0.5255
1.03,0.5201
1.05,0.5158
1.08,0.5343
1.11,0.5270
1.13,0.5143
1.16,0.5028
1.18,0.4933
1.21,0.5289
1.23,0.5241
1.26,0.5282
1.28,0.5145
1.31,0.5094
1.33,0.5678
1.36,0.5932
1.38,0.5094
1.41,0.4960
1.44,0.4774
1.46,0.4860
1.49,0.4916
1.51,0.4735
1.54,0.4601
1.56,0.4430
1.59,0.4278
1.61,0.4337
1.64,0.4874
1.66,0.5265
1.69,0.5223
1.72,0.5299
1.74,0.5314
1.77,0.5304
1.79,0.5211
1.82,0.5148
1.84,0.5294
1.87,0.5050
1.89,0.5285
1.92,0.5243
1.94,0.5177
1.97,0.5250
1.99,0.5206
2.02,0.5162
2.05,0.5211
2.07,0.5241
2.1,0.5302
2.12,0.5062
2.15,0.5106
2.17,0.5040
2.2,0.4943
2.22,0.4894
2.25,0.4967
2.27,0.5241
2.3,0.5177
2.32,0.5114
2.35,0.5118
2.38,0.4845
2.4,0.5805
2.43,0.5118
2.45,0.4943
2.48,0.4947
2.5,0.5043
2.53,0.4855
2.55,0.4916
2.58,0.4650
2.6,0.4545
2.63,0.4447
2.66,0.4254
2.68,0.4479
2.71,0.4906
2.73,0.5241
2.76,0.5206
2.78,0.5248
2.81,0.5245
2.83,0.5221
2.86,0.5267
2.88,0.5306
2.91,0.5265
2.93,0.5194
2.96,0.5189
2.99,0.5375
3.01,0.5250
3.04,0.5209
3.06,0.5180
3.09,0.5248
3.11,0.5443
3.14,0.5223
3.16,0.5165
3.19,0.5187
3.21,0.5167
3.24,0.5177
3.26,0.5121
3.29,0.5106
3.32,0.5189
3.34,0.5121
3.37,0.5043
3.39,0.5111
3.42,0.5201
3.44,0.5092
3.47,0.4847
3.49,0.4965
3.52,0.5033
3.54,0.5123
3.57,0.5035
3.6,0.5128
3.62,0.4965
3.65,0.4947
3.67,0.5968
3.7,0.5065
3.72,0.4879
3.75,0.4933
3.77,0.4777
3.8,0.4913
3.82,0.4593
3.85,0.4737
3.87,0.4440
3.9,0.4273
3.93,0.4281
3.95,0.4542
3.98,0.4935
4.0,0.5233
4.03,0.5180
4.05,0.5275
4.08,0.5304
4.1,0.5321
4.13,0.5272
4.15,0.5280
4.18,0.5265
4.2,0.5314
4.23,0.5150
4.26,0.5194
4.28,0.5219
4.31,0.5145
4.33,0.5187
