Seg,mV
0.0,0.4769135
0.05,0.4869232
0.1,0.4815521
0.15,0.4776459
0.2,0.4786224
0.25,0.4788666
0.3,0.4810638
0.35,0.4793549
0.4,0.4708099
0.45,0.4752045
0.5,0.5059814
0.55,0.5206299
0.61,0.5228271
0.66,0.5245361
0.71,0.5162354
0.76,0.5123291
0.81,0.5028076
0.86,0.5101318
0.91,0.5157471
0.96,0.5133057
1.01,0.5023193
1.06,0.4930267
1.11,0.5289307
1.16,0.5289307
1.21,0.5296631
1.26,0.526001
1.31,0.5223389
1.36,0.505249
1.41,0.5343018
1.46,0.5384521
1.51,0.5408936
1.56,0.5274658
1.61,0.5450439
1.66,0.5567627
1.71,0.5404053
1.76,0.5140381
1.81,0.4932709
1.86,0.4827728
1.91,0.4727631
1.96,0.474472
2.01,0.4749603
2.06,0.4908295
2.11,0.4937592
2.16,0.4971771
2.21,0.4898529
2.26,0.5057373
2.31,0.512085
2.36,0.5062256
2.41,0.5045166
2.46,0.5003662
2.51,0.4976654
2.56,0.5020752
2.61,0.5074463
2.66,0.5076904
2.71,0.5054932
2.76,0.5079346
2.81,0.5079346
2.87,0.5064697
2.92,0.5028076
2.97,0.50354
3.02,0.5020752
3.07,0.4981537
3.12,0.5003662
3.17,0.5020752
3.22,0.5023193
3.27,0.4983978
3.32,0.5006104
3.37,0.5010986
3.42,0.496933
3.47,0.498642
3.52,0.5040283
3.57,0.5032959
3.62,0.5025635
3.67,0.5089111
3.72,0.5142822
3.77,0.5101318
3.82,0.5106201
3.87,0.5111084
3.92,0.510376
3.97,0.5101318
4.02,0.5030518
4.07,0.5064697
4.12,0.5020752
4.17,0.5015869
4.22,0.5030518
4.27,0.5001221
4.32,0.5015869
4.37,0.5025635
4.42,0.5015869
4.47,0.5020752
4.52,0.5003662
4.57,0.5001221
4.62,0.5023193
4.67,0.5037842
4.72,0.5037842
4.77,0.4991302
4.82,0.5001221
4.87,0.5001221
4.92,0.5020752
4.97,0.5015869
5.02,0.4991302
5.07,0.5020752
5.12,0.5040283
5.17,0.50354
5.23,0.5030518
5.28,0.5025635
5.33,0.5020752
5.38,0.5050049
5.43,0.5037842
5.48,0.5040283
5.53,0.5040283
5.58,0.5037842
5.63,0.5030518
5.68,0.5023193
5.73,0.5059814
5.78,0.5074463
5.83,0.5079346
5.88,0.5064697
5.93,0.5030518
5.98,0.5050049
6.03,0.505249
6.08,0.5076904
6.13,0.5096436
6.18,0.5059814
6.23,0.5111084
6.28,0.5079346
6.33,0.5098877
6.38,0.5111084
6.43,0.5091553
6.48,0.5096436
6.53,0.510376
6.58,0.5111084
6.63,0.5133057
6.68,0.510376
6.73,0.5089111
6.78,0.5130615
6.83,0.5111084
6.88,0.5133057
6.93,0.5093994
6.98,0.5081787
7.03,0.5130615
7.08,0.5093994
7.13,0.5130615
7.18,0.5118408
7.23,0.5113525
7.28,0.508667
7.33,0.5118408
7.38,0.5093994
7.43,0.5130615
7.48,0.5084229
7.54,0.5111084
7.59,0.5101318
7.64,0.5079346
7.69,0.506958
7.74,0.5072021
7.79,0.5093994
7.84,0.506958
7.89,0.5059814
7.94,0.5064697
7.99,0.5064697
8.04,0.5067139
8.09,0.5062256
8.14,0.5054932
8.19,0.508667
8.24,0.5015869
8.29,0.5040283
8.34,0.5037842
8.39,0.5008545
8.44,0.5023193
8.49,0.5040283
8.54,0.5050049
8.59,0.5025635
8.64,0.5003662
8.69,0.4976654
8.74,0.5001221
8.79,0.5020752
8.84,0.5040283
8.89,0.5015869
8.94,0.5030518
8.99,0.5067139
9.04,0.4974213
9.09,0.5025635
9.14,0.5008545
9.19,0.4988861
9.24,0.5023193
9.29,0.4974213
9.34,0.5042725
9.39,0.5047607
9.44,0.5023193
9.49,0.5032959
9.54,0.5028076
9.59,0.5067139
9.64,0.5028076
9.69,0.5013428
9.74,0.5059814
9.8,0.510376
9.85,0.5030518
9.9,0.506958
9.95,0.5062256
10.0,0.5054932
